episode,total_reward,loss,ndcg@5,slate_mrr,click_rate
0,-876.3924439251423,0.021044525867586747,0.0,0.0,0.2
1,-879.983959197998,0.016096553010283968,0.0,0.019999999552965164,0.3
2,-816.0045857429504,0.01206410451210104,0.019999999552965164,0.004999999888241291,0.3
3,-935.3688703924417,0.008337390341039282,0.0,0.0,0.2
4,-903.3511288464069,0.006902812761545647,0.0,0.0,0.0
5,-814.2517127990723,0.005561023689224385,0.0,0.0,0.3
6,-981.7965925335884,0.003769831560784951,0.0,0.0,0.1
7,-932.4810985028744,0.0025490777044251444,0.0,0.0,0.0
8,-911.3145613670349,0.0068506116617936645,0.0,0.1599999964237213,0.0
9,-998.7840515077114,0.0027548270495026373,0.0,0.0,0.1
10,-982.7518990673125,0.0025037271405744833,0.0,0.019999999552965164,0.2
11,-937.2334366738796,0.002787240952529828,0.0,0.0,0.3
12,-1025.384005188942,0.0020722684395877876,0.0,0.0,0.1
13,-1001.0174790620804,0.0010779722093138843,0.0,0.0,0.2
