episode,total_reward,loss,ndcg@5,slate_mrr
0,6353.240832328796,0.0,0.1599999964237213,0.1599999964237213
1,1180.7769248783588,0.0,0.11999999731779099,0.07999999821186066
2,105.09674936532974,1.217947392475487,0.0,0.0
3,5124.0716733932495,1.2000871624052525,0.0,0.0
4,11013.654634475708,1.5353407844901086,0.0,0.0
5,6954.653288841248,1.9570909348130225,0.0,0.0
6,8235.68995475769,2.012948181927204,0.0,0.0
7,9264.240717887878,2.158237361609936,0.0,0.0
8,12801.324896335602,2.4285814809799193,0.0,0.0024999999441206455
9,8865.644263267517,2.6440766137838363,0.0,0.0
10,9779.159872055054,2.7396837681531907,0.0,0.0
11,13288.145359992981,2.8597867876291274,0.0,0.0
12,9241.089435577393,3.01782071352005,0.0,0.0
13,10982.405568122864,3.004661625623703,0.1599999964237213,0.03200000151991844
14,10240.965724945068,3.1440196335315704,0.019999999552965164,0.019999999552965164
15,9872.686492919922,3.2463453567028044,0.0,0.0
16,12578.903148651123,3.186554459929466,0.0,0.0
17,14174.592931747437,3.4528989654779436,0.019999999552965164,0.019999999552965164
18,13355.750522613525,3.460135831236839,0.0,0.0
19,16491.34542274475,3.6938007295131685,0.0,0.0
20,15620.750410079956,3.7611300599575044,0.0,0.0
21,14021.76991558075,3.9862427067756654,0.0,0.0
22,11584.306697845459,3.914229904413223,0.0,0.0
23,9168.467668533325,3.945743854045868,0.0,0.0
24,10950.291996002197,3.9779251015186308,0.0,0.0
25,11741.5827627182,3.959831085205078,0.0,0.0
26,11733.670595169067,3.949897586107254,0.0,0.0
27,8289.306101799011,3.9796720016002656,0.0,0.0
28,10227.930810928345,3.877688113451004,0.0,0.0
29,10969.223677635193,3.889179250597954,0.0,0.0
30,11360.1304397583,3.98273202419281,0.0,0.05999999865889549
31,12755.838581085205,3.9178408229351045,0.0,0.0
32,9084.285793304443,3.976001749038696,0.0,0.019999999552965164
33,11249.799797058105,3.914631774425507,0.0,0.0
34,12615.637702941895,3.9655983889102937,0.019999999552965164,0.18000000715255737
35,12455.510356903076,4.018191164731979,0.0,0.0
36,11543.083141326904,4.002324460744858,0.0,0.0
37,7795.208808898926,4.041475635766983,0.0,0.0
38,18388.520135879517,4.1581531894207,0.0,0.0
39,12098.303407669067,4.009265815615654,0.0,0.0
40,8624.959697723389,3.9311188745498655,0.0,0.0
41,12386.361567497253,4.070423603057861,0.0,0.0
42,9238.04160451889,4.041408381462097,0.0,0.0
43,13329.606446266174,4.075558849573135,0.0,0.0
44,11784.699496746063,4.123271135091781,0.0,0.0
45,14323.216444015503,4.1329762840271,0.0,0.20000000298023224
46,8957.745380401611,4.3005296730995175,0.0,0.0
47,12560.171954154968,4.023094485998154,0.0,0.0
48,12916.530409812927,4.117081094980239,0.18000000715255737,0.04500000178813934
49,10164.041892051697,4.233390797972679,0.0,0.0
50,13323.322211265564,4.077695206403733,0.0,0.0
51,10503.170585632324,4.196276432275772,0.0,0.0
52,9773.854557037354,4.165071338415146,0.0,0.0
53,11940.702658176422,4.271655769348144,0.0,0.0
54,10057.010061264038,4.367540068626404,0.0,0.0
55,11490.37769985199,4.24799274802208,0.0,0.0
56,10207.022805213928,4.23722368478775,0.0,0.0
57,10559.863333702087,4.259085714817047,0.0,0.0
