episode,total_reward,loss,ndcg@5,slate_mrr,click_rate,epsilon
0,732.3582153320312,0.0,0.0,0.0,1.0,0.1992313712835312
1,1272.1255890727043,0.0,0.0,0.019999999552965164,1.0,0.19846569001674652
2,1250.2563322484493,0.01956731423339115,0.019999999552965164,0.019999999552965164,1.0,0.19770294427871704
3,2531.8631987571716,0.006703881055582315,0.0,0.0,0.9,0.19694313406944275
4,2183.618554830551,0.005258652860065922,0.0,0.0,1.0,0.19618622958660126
5,2305.288848400116,0.0057235450996086,0.0,0.0,1.0,0.19543223083019257
6,2548.036066532135,0.005877736992551945,0.0,0.05999999865889549,1.0,0.19468121230602264
7,2451.63524723053,0.005959423715248704,0.0,0.0,0.9,0.19393308460712433
8,2587.209128856659,0.005934886645409278,0.0,0.0,1.0,0.19318783283233643
9,1258.7813119888306,0.005608859454514459,0.0,0.0,0.9,0.19244544208049774
10,2362.7017488479614,0.00590561539051123,0.0,0.05999999865889549,1.0,0.19170589745044708
11,2529.6822595596313,0.005820435978239402,0.0,0.14000000059604645,1.0,0.19096919894218445
12,2339.995024204254,0.0063596057053655385,0.0,0.0,1.0,0.19023533165454865
13,2106.540717601776,0.006021508759586141,0.0,0.0,0.9,0.18950428068637848
14,2251.173528432846,0.005884771068231202,0.0,0.019999999552965164,0.9,0.18877603113651276
15,2832.7652955055237,0.006208409953396768,0.0,0.0,1.0,0.18805056810379028
16,2390.0035486221313,0.006415271078003571,0.0,0.0,0.9,0.18732787668704987
17,2434.0134649276733,0.007154007019707933,0.0,0.0,1.0,0.1866079419851303
18,2227.3305656909943,0.006759757575346157,0.0,0.0,1.0,0.18589076399803162
19,2459.645825624466,0.00663926443667151,0.0,0.0,1.0,0.1851763129234314
20,1654.103660106659,0.0065052974788704886,0.0,0.0,1.0,0.18446458876132965
21,2118.264666080475,0.006460203358437866,0.0,0.0,1.0,0.18375557661056519
22,1628.5492796897888,0.00614041474473197,0.0,0.019999999552965164,1.0,0.1830492615699768
23,2339.1118745803833,0.006456650600302965,0.0,0.0,1.0,0.1823459267616272
24,1873.007200717926,0.006316251455573365,0.0,0.0,1.0,0.1816452592611313
25,2174.3577489852905,0.006032382172998041,0.0,0.0,1.0,0.18094725906848907
26,2317.0304918289185,0.006335893053328618,0.0,0.0,1.0,0.18025191128253937
27,1696.9183440208435,0.0064231955027207735,0.0,0.0,1.0,0.17955921590328217
28,2532.6668632030487,0.006057522679911926,0.0,0.0,0.9,0.17886914312839508
29,1833.7607216835022,0.006033038778696209,0.0,0.0,1.0,0.17818167805671692
30,2427.6674015522003,0.0062727290333714335,0.14000000059604645,0.14000000059604645,1.0,0.1774968057870865
31,1674.7182874679565,0.006253711766330525,0.0,0.0,0.9,0.1768145114183426
