episode,total_reward,loss,ndcg@5,slate_mrr,click_rate
0,1781.1967858076096,0.007528383866883814,0.0,0.0,0.2
1,672.22564047575,0.006953354678116739,0.0,0.0,0.8
2,1391.2418922781944,0.006242044304963201,0.0,0.0,1.0
3,2000.7873902320862,0.005953708114102483,0.0,0.0,1.0
4,1911.8042590618134,0.0064064440177753566,0.0,0.20000000298023224,1.0
5,1776.5105307102203,0.005187360406853259,0.0,0.0,1.0
6,1459.0639214515686,0.0045724811288528145,0.0,0.0,1.0
7,2364.361806869507,0.006025796353351325,0.0,0.0,1.0
8,2043.5003170967102,0.0063292340165935455,0.0,0.0,1.0
9,2504.475742340088,0.005042241003829986,0.20000000298023224,0.20000000298023224,1.0
10,2236.2028727531433,0.006094622863456607,0.0,0.0,1.0
11,2819.160870552063,0.007181090032681823,0.0,0.0,1.0
12,2720.5031914711,0.0075944157736375925,0.0,0.0,1.0
13,2722.2068271636963,0.007667886186391115,0.0,0.0,1.0
14,2208.0694365501404,0.007090082161594183,0.0,0.0,1.0
15,2203.8914697170258,0.005577622746350244,0.0,0.0,1.0
16,2194.3245284557343,0.005028211839962751,0.0,0.0,1.0
17,2214.600992679596,0.004811336016282439,0.0,0.0,1.0
18,2225.8413434028625,0.006123104873113334,0.0,0.0,1.0
19,2001.967368364334,0.006544439774006605,0.0,0.0,1.0
20,2192.5905771255493,0.004959781130310148,0.0,0.20000000298023224,1.0
21,1691.3754391670227,0.004637629011413082,0.0,0.0,1.0
22,2801.229751110077,0.0064572772406972945,0.0,0.0,1.0
23,2361.0753927230835,0.008080292709637433,0.0,0.20000000298023224,1.0
24,2664.7926440238953,0.0073151216795668,0.0,0.0,1.0
25,1488.6122937202454,0.00847167240222916,0.0,0.0,1.0
26,2481.9198501110077,0.005292277166154236,0.0,0.0,1.0
27,1963.8022286891937,0.007712004985660314,0.0,0.0,1.0
28,1728.6591310501099,0.0060975733306258915,0.0,0.0,1.0
29,2195.1892428398132,0.0036103948089294137,0.0,0.0,1.0
30,1968.1988921165466,0.004190575695829466,0.0,0.0,1.0
31,1770.4417009353638,0.0050021280534565445,0.0,0.0,1.0
32,2837.5808453559875,0.004781849925639108,0.0,0.0,1.0
33,1658.2399306297302,0.007755883729550987,0.0,0.0,1.0
34,1886.2210834026337,0.004044556636363268,0.0,0.0,1.0
35,1759.8046438694,0.004057271253550425,0.0,0.0,1.0
36,2495.0111298561096,0.004395953852217645,0.0,0.0,1.0
37,2875.953876018524,0.006260237004607916,0.0,0.0,1.0
38,2656.517668247223,0.008000551743898542,0.0,0.0,1.0
