episode,total_reward,loss,ndcg@5,slate_mrr,click_rate,epsilon
0,1049.9847204685211,0.0,0.0,0.0,0.7,0.1992313712835312
1,885.6959612369537,0.0,0.0,0.0,1.0,0.19846569001674652
2,1037.4948884248734,0.12719782185510242,0.0,0.0,1.0,0.19770294427871704
3,1007.2588460445404,0.020782706975005567,0.0,0.0,1.0,0.19694313406944275
4,1156.8251976966858,0.011593217724584975,0.0,0.0,1.0,0.19618622958660126
5,1001.8096826076508,0.011859606272773817,0.0,0.0,0.9,0.19543223083019257
6,1108.867757320404,0.012008906307746656,0.019999999552965164,0.02500000037252903,1.0,0.19468121230602264
7,1115.8000741004944,0.014446810196386651,0.0,0.0,1.0,0.19393308460712433
8,976.9743239879608,0.012333981646224856,0.0,0.0,1.0,0.19318783283233643
