episode,total_reward,loss,ndcg@5,slate_mrr,click_rate,epsilon
0,248.9830489307642,0.0,0.0,0.0,0.5,0.1992313712835312
1,254.02125626802444,0.0,0.0,0.0,0.8,0.19846569001674652
2,204.47876182198524,0.0988065674532168,0.0,0.0,0.4,0.19770294427871704
3,195.30183583498,0.02184690611669794,0.0,0.019999999552965164,0.4,0.19694313406944275
4,208.68507304787636,0.01657045993139036,0.0,0.019999999552965164,0.3,0.19618622958660126
5,176.68188509345055,0.017058432231424378,0.0,0.0,0.3,0.19543223083019257
6,139.29477681219578,0.014492062190547585,0.0,0.0,0.3,0.19468121230602264
7,143.45450875163078,0.014699928455520421,0.0,0.0,0.1,0.19393308460712433
8,138.9727476388216,0.009147147734183817,0.0,0.0,0.3,0.19318783283233643
9,186.30359295010567,0.010595762383309193,0.0,0.0,0.6,0.19244544208049774
10,110.96546892821789,0.012009396892390214,0.1599999964237213,0.1599999964237213,0.4,0.19170589745044708
11,189.4225889146328,0.010840844931080937,0.0,0.019999999552965164,0.3,0.19096919894218445
12,169.14554572105408,0.011195973246358334,0.0,0.0,0.4,0.19023533165454865
13,104.80619230866432,0.007021508726174943,0.0,0.0,0.2,0.18950428068637848
14,172.50467178225517,0.007824954697862268,0.0,0.004999999888241291,0.5,0.18877603113651276
15,136.56478835642338,0.006415106865169946,0.0,0.019999999552965164,0.3,0.18805056810379028
16,143.43843138217926,0.008047544354340061,0.0,0.0,0.4,0.18732787668704987
17,217.45371043682098,0.005585880771977827,0.0,0.0,0.4,0.1866079419851303
