episode,total_reward,loss,ndcg@5,slate_mrr,click_rate
0,2861.462799549103,0.0,0.0,0.0,1.0
1,2680.93514251709,0.0,0.0,0.0,1.0
2,2422.378109931946,0.0,0.0,0.0,1.0
3,2048.0207090377808,0.0,0.0,0.0,1.0
4,2175.8423142433167,0.0,0.0,0.0,1.0
5,2579.7670702934265,0.0,0.0,0.20000000298023224,1.0
6,2186.980441570282,0.0,0.0,0.0,1.0
7,2888.0946593284607,0.0,0.0,0.0,1.0
8,2207.4467272758484,0.0,0.0,0.0,1.0
9,2505.306795835495,0.0,0.0,0.0,1.0
10,2325.9896264076233,0.0,0.0,0.0,1.0
11,2862.328273296356,0.0,0.0,0.0,1.0
12,2629.8335733413696,0.0,0.0,0.0,1.0
13,2375.351986885071,0.0,0.0,0.0,1.0
14,2352.2123923301697,0.0,0.0,0.0,1.0
15,3105.6713547706604,0.0,0.0,0.0,1.0
16,2526.140326976776,0.0,0.0,0.0,1.0
17,2778.49382352829,0.0,0.0,0.0,1.0
18,2645.4937028884888,0.0,0.0,0.0,1.0
19,2802.0458483695984,0.0,0.0,0.0,1.0
20,2220.623825073242,0.0,0.0,0.0,1.0
21,2566.0227971076965,0.0,0.0,0.0,1.0
22,2172.9774565696716,0.0,0.0,0.0,1.0
23,2217.7979893684387,0.0,0.0,0.0,1.0
24,2461.9038615226746,0.0,0.0,0.0,1.0
25,2150.186486721039,0.0,0.0,0.0,1.0
26,2209.7858176231384,0.0,0.0,0.0,1.0
27,2476.365505218506,0.0,0.0,0.0,1.0
28,2370.35676240921,0.0,0.0,0.0,1.0
29,3207.7884011268616,0.0,0.0,0.0,1.0
30,3435.1760053634644,0.0,0.0,0.0,1.0
31,2763.3731911182404,0.0,0.0,0.0,1.0
32,2496.9509530067444,0.0,0.0,0.0,1.0
33,1742.1640117168427,0.0,0.0,0.0,1.0
34,2759.8639068603516,0.0,0.0,0.0,1.0
35,2089.327308654785,0.0,0.0,0.11999999731779099,1.0
36,2928.0811886787415,0.0,0.0,0.0,1.0
37,1963.087933063507,0.0,0.0,0.0,1.0
