episode,total_reward,loss,ndcg@5,slate_mrr,click_rate
0,1838.8998324871063,0.0,0.0,0.0,1.0
1,1776.3296465873718,0.0,0.0,0.0,1.0
2,1871.8072156906128,0.0,0.0,0.0,1.0
3,1563.0209424495697,0.0,0.0,0.0,1.0
4,1571.3273758888245,0.0,0.0,0.0,1.0
5,1530.021993637085,0.0,0.0,0.0,1.0
6,2145.715643644333,0.0,0.0,0.0,1.0
7,1502.1308732032776,0.0,0.0,0.0,1.0
8,1537.2249064445496,0.0,0.20000000298023224,0.20000000298023224,1.0
9,1487.2984328269958,0.0,0.0,0.0,1.0
10,1595.657096862793,0.0,0.0,0.0,1.0
11,2218.478029727936,0.0,0.0,0.0,1.0
12,1808.008287191391,0.0,0.0,0.0,1.0
13,1748.3791728019714,0.0,0.0,0.0,1.0
14,1639.0784435272217,0.0,0.0,0.20000000298023224,1.0
15,1910.3218836784363,0.0,0.0,0.0,1.0
16,1357.6761257648468,0.0,0.0,0.0,1.0
17,1795.9595499038696,0.0,0.0,0.0,1.0
18,1325.836733341217,0.0,0.0,0.0,1.0
19,1235.2636287212372,0.0,0.0,0.0,1.0
20,1392.3756353855133,0.0,0.0,0.0,1.0
21,1915.0795240402222,0.0,0.0,0.0,1.0
22,1645.5076410770416,0.0,0.0,0.0,1.0
23,1573.0258643627167,0.0,0.0,0.0,1.0
24,2034.207929134369,0.0,0.0,0.0,1.0
25,1860.4860606193542,0.0,0.0,0.0,1.0
26,2295.302387237549,0.0,0.0,0.0,1.0
27,1822.2894532680511,0.0,0.0,0.0,1.0
28,1940.198558807373,0.0,0.0,0.0,1.0
29,1700.822590827942,0.0,0.0,0.0,1.0
30,1736.0335228443146,0.0,0.0,0.0,1.0
31,2074.78444814682,0.0,0.0,0.0,1.0
32,1908.8237342834473,0.0,0.0,0.0,1.0
33,1218.233840227127,0.0,0.0,0.0,1.0
34,2312.4509658813477,0.0,0.0,0.0,1.0
35,1536.7748320102692,0.0,0.0,0.0,1.0
36,1968.301730632782,0.0,0.0,0.0,1.0
37,1589.7245917320251,0.0,0.0,0.0,1.0
38,1509.7459290027618,0.0,0.0,0.0,1.0
39,1890.688093662262,0.0,0.0,0.0,1.0
40,1452.803326368332,0.0,0.0,0.0,1.0
41,1644.891802072525,0.0,0.0,0.0,1.0
42,1604.9615468978882,0.0,0.0,0.0,1.0
43,1871.1407957077026,0.0,0.0,0.0,1.0
44,1762.755844116211,0.0,0.0,0.0,1.0
45,1273.7447192668915,0.0,0.0,0.0,1.0
46,1580.025802373886,0.0,0.0,0.0,1.0
47,1346.1652941703796,0.0,0.0,0.0,1.0
48,2070.4777817726135,0.0,0.0,0.0,1.0
49,1486.5055391788483,0.0,0.0,0.0,1.0
50,1785.5189702510834,0.0,0.0,0.0,1.0
51,2188.2326402664185,0.0,0.0,0.0,1.0
52,1734.0426120758057,0.0,0.0,0.0,1.0
53,1667.1514718532562,0.0,0.0,0.0,1.0
54,1901.9257125854492,0.0,0.0,0.0,1.0
55,1818.484390258789,0.0,0.0,0.0,1.0
56,1691.3710289001465,0.0,0.0,0.0,1.0
57,1831.1044025421143,0.0,0.0,0.0,1.0
58,1856.1984176635742,0.0,0.0,0.0,1.0
59,1795.8867132663727,0.0,0.0,0.0,1.0
60,1538.2728123664856,0.0,0.0,0.0,1.0
61,1801.066243648529,0.0,0.0,0.0,1.0
62,1764.3498120307922,0.0,0.0,0.05999999865889549,1.0
63,2070.61785697937,0.0,0.0,0.0,1.0
64,1472.2358875274658,0.0,0.0,0.0,1.0
65,1289.4868268966675,0.0,0.0,0.0,1.0
66,2045.903736591339,0.0,0.0,0.0,1.0
67,1801.9466190338135,0.0,0.0,0.20000000298023224,1.0
68,1452.626618862152,0.0,0.0,0.0,1.0
69,1930.6672992706299,0.0,0.0,0.0,1.0
70,1767.9774787425995,0.0,0.0,0.0,1.0
71,2167.1473183631897,0.0,0.0,0.0,1.0
72,1668.471476316452,0.0,0.0,0.0,1.0
73,1541.6180465221405,0.0,0.0,0.0,1.0
74,1533.3010869026184,0.0,0.0,0.0,1.0
75,1404.0147259235382,0.0,0.0,0.0,1.0
76,1958.8819844722748,0.0,0.0,0.0,1.0
77,2122.916594028473,0.0,0.0,0.0,1.0
78,1496.415122270584,0.0,0.0,0.0,1.0
79,1685.34792470932,0.0,0.0,0.0,1.0
80,1527.9030978679657,0.0,0.0,0.0,1.0
81,1932.633701324463,0.0,0.0,0.0,1.0
82,1636.2980318069458,0.0,0.0,0.0,1.0
83,1539.0147714614868,0.0,0.0,0.0,1.0
84,2153.802797317505,0.0,0.0,0.0,1.0
85,1989.4072532653809,0.0,0.0,0.0,1.0
86,1682.0603249073029,0.0,0.0,0.0,1.0
87,1309.641723394394,0.0,0.0,0.0,1.0
88,1566.6212029457092,0.0,0.0,0.0,1.0
89,1838.1741909980774,0.0,0.0,0.0,1.0
90,1520.275229692459,0.0,0.0,0.0,1.0
