episode,total_reward,loss,ndcg@5,slate_mrr
0,1249.8715171813965,2.123838186264038,0.20799998939037323,0.07000000029802322
1,1285.922845840454,1.36503267288208,0.0,0.14000000059604645
2,2201.898434638977,0.9762587547302246,0.0,0.1433333307504654
3,1658.5620851516724,0.8541264533996582,0.019999999552965164,0.16500000655651093
4,1621.81112241745,0.7972974181175232,0.019999999552965164,0.029999999329447746
5,1261.1543440818787,0.720276415348053,0.03999999910593033,0.10999999940395355
6,2031.292944908142,0.6930380463600159,0.0,0.0
7,1606.178922176361,0.6994206309318542,0.0,0.0
8,1744.135513305664,0.6925073266029358,0.004000000189989805,0.02666666731238365
9,2203.076756477356,0.6596667766571045,0.0,0.0
10,2078.8920612335205,0.5747065544128418,0.0,0.03999999910593033
11,2122.1335411071777,0.4084521234035492,0.0,0.024444445967674255
12,1816.912841796875,0.2896871864795685,0.0,0.019999999552965164
13,1402.094249844551,0.2457740157842636,0.0,0.03999999910593033
14,1868.7135124206543,0.15622004866600037,0.0,0.019999999552965164
15,1334.8379954099655,0.10697726160287857,0.0,0.03999999910593033
16,1686.1669178009033,0.06369775533676147,0.019999999552965164,0.06666666269302368
17,1952.9138202667236,0.033871497958898544,0.0,0.03999999910593033
18,758.6130194664001,0.019173868000507355,0.019999999552965164,0.06666667014360428
19,1659.7501935958862,0.010462125763297081,0.019999999552965164,0.07999999821186066
20,1600.8951864242554,0.0067545645870268345,0.0,0.10000000149011612
21,1020.3824291229248,0.005783856380730867,0.0,0.05999999865889549
22,1925.4675874710083,0.0035622769501060247,0.019999999552965164,0.029999999329447746
23,826.359139084816,0.0033380992244929075,0.019999999552965164,0.125
24,1989.388355255127,0.0026717016007751226,0.019999999552965164,0.07000000029802322
25,1266.2523107528687,0.002788200043141842,0.0,0.07999999821186066
26,1130.7485542297363,0.0033631743863224983,0.0,0.10000000149011612
27,1416.2441329956055,0.002936579054221511,0.0,0.05999999865889549
28,1632.0408935546875,0.0024037715047597885,0.0,0.019999999552965164
29,2013.262825012207,0.002236864296719432,0.0,0.10000000149011612
30,1612.7197904586792,0.0018891670042648911,0.0,0.07999999821186066
31,1662.6500358581543,0.0018627139506861567,0.0,0.07999999821186066
32,1969.939476966858,0.0017637989949434996,0.0,0.03999999910593033
33,1567.5961475372314,0.0017897814977914095,0.0,0.03999999910593033
34,1858.6331157684326,0.0017153960652649403,0.0,0.03999999910593033
35,1353.20539188385,0.0015155629953369498,0.0,0.07999999821186066
36,1914.5254006385803,0.0014567552134394646,0.0,0.05999999865889549
37,2076.1959924697876,0.0013667407911270857,0.019999999552965164,0.07999999821186066
38,1630.8955554962158,0.0014348076656460762,0.0,0.03999999910593033
39,1687.0148515701294,0.0013924352824687958,0.0,0.07999999821186066
40,2014.8597955703735,0.0017050724709406495,0.0,0.019999999552965164
41,1716.7736320495605,0.0017066395375877619,0.0,0.03999999910593033
42,1325.8939657211304,0.0016311038052663207,0.0,0.07999999821186066
43,1558.7492742538452,0.0015505203045904636,0.0,0.019999999552965164
44,954.6979992389679,0.0015868988120928407,0.0,0.019999999552965164
45,1641.7521510124207,0.0015802558045834303,0.0,0.0
46,1565.4191703796387,0.0018749337177723646,0.0,0.0
47,1473.390730381012,0.0017108074389398098,0.0,0.0
48,1545.637354850769,0.0015132649568840861,0.0,0.0
49,1667.885256767273,0.0014655559789389372,0.0,0.0
50,1302.0564994812012,0.0015195466112345457,0.0,0.0
51,1604.9485692977905,0.0014631758676841855,0.0,0.0
52,1255.652357339859,0.0014502373524010181,0.0,0.0
53,1340.0531272888184,0.001454066950827837,0.0,0.0
54,1123.5199007987976,0.001457297708839178,0.0,0.0
55,1938.9164762496948,0.001405144459567964,0.0,0.0
56,920.8792451620102,0.0013917923206463456,0.0,0.0
57,862.4058529138565,0.0014329359401017427,0.0,0.0
58,1446.6405305862427,0.0014803267549723387,0.0,0.0
59,512.2201768755913,0.0014551919884979725,0.0,0.0
60,2198.005708694458,0.00148587126750499,0.0,0.0
61,1770.1827716827393,0.00149256968870759,0.0,0.0
62,952.9515709877014,0.0014301255578175187,0.0,0.0
63,1081.036693096161,0.001498392317444086,0.0,0.0
64,1506.9588441848755,0.0014443902764469385,0.0,0.0
65,1834.8163623809814,0.0014144886517897248,0.0,0.0
66,1801.2490711212158,0.001453819451853633,0.0,0.0
67,2148.5833263397217,0.001446402631700039,0.0,0.0
68,1966.2654972076416,0.0014415634796023369,0.0,0.0
69,1741.280701160431,0.0014355075545608997,0.0,0.0
70,1135.448580980301,0.0014115641824901104,0.0,0.0
71,1946.653447151184,0.0014554671943187714,0.0,0.0
72,1635.816668510437,0.0014259932795539498,0.0,0.0
73,1714.2420206069946,0.0014265492791309953,0.0,0.0
74,1741.2935514450073,0.001422972185537219,0.019999999552965164,0.006666666828095913
75,2108.280451774597,0.0014539508847519755,0.0,0.0
76,1687.5488233566284,0.0014308601384982467,0.0,0.0
77,1942.550892829895,0.001429525320418179,0.0,0.0
78,1360.297006726265,0.001417360152117908,0.0,0.0
79,2311.1696166992188,0.0014376218896359205,0.0,0.0
80,1640.7764806747437,0.0014014877378940582,0.0,0.0
81,1562.500189781189,0.0014005349949002266,0.0,0.0
82,1747.6764526367188,0.001401880057528615,0.0,0.0
83,2260.4570484161377,0.0013791234232485294,0.0,0.0
84,1349.2850623130798,0.0013936315663158894,0.0,0.0
85,1091.6487483978271,0.0014479130040854216,0.0,0.0
86,1726.037413597107,0.0014047365402802825,0.0,0.0
87,1328.303680896759,0.0014041293179616332,0.0,0.0
88,1585.2928667068481,0.0013768832432106137,0.0,0.0
89,1903.4807949066162,0.0014160220744088292,0.0,0.0
90,1882.8612537384033,0.0013887190725654364,0.0,0.0
91,1456.3289551734924,0.0014092737110331655,0.0,0.0
92,2084.988275527954,0.0013856285950168967,0.0,0.0
93,1703.1741752624512,0.0013992064632475376,0.0,0.0
94,1459.9278345108032,0.0013796091079711914,0.0,0.0
95,1969.8198127746582,0.0013856609584763646,0.0,0.0
96,2656.808261871338,0.0013990424340590835,0.0,0.0
97,1732.1191716194153,0.0014097902458161116,0.0,0.0
98,969.7299646139145,0.001400283072143793,0.0,0.0
99,2049.7295894622803,0.0014132218202576041,0.0,0.0
