episode,total_reward,loss,ndcg@5,slate_mrr
0,1649.3757104873657,0.0,0.0,0.019999999552965164
1,1669.8833107948303,0.0,0.019999999552965164,0.05999999865889549
2,1663.6979713439941,0.0,0.0,0.0
3,1703.6957058906555,0.0,0.0,0.0
4,1653.8444638252258,0.0,0.0,0.0
5,1670.7953324317932,0.0,0.0,0.019999999552965164
6,1670.5530195236206,0.0,0.0,0.0
7,1672.4472079277039,0.0,0.0,0.0
8,1714.816794872284,0.0,0.0,0.0
9,1650.7745161056519,0.0,0.0,0.0
10,1635.0394778251648,0.0,0.0,0.019999999552965164
11,1705.11745595932,0.0,0.0,0.0
12,1621.5724034309387,0.0,0.0,0.0
13,1606.8538045883179,0.0,0.0,0.0
14,1668.1690340042114,0.0,0.0,0.0
15,1679.480369567871,0.0,0.0,0.0
16,1618.5282678604126,0.0,0.0,0.0
17,1668.1275005340576,0.0,0.0,0.019999999552965164
18,1660.9248070716858,0.0,0.0,0.0
19,1620.653950214386,0.0,0.0,0.019999999552965164
20,1688.7246570587158,0.0,0.0,0.03999999910593033
21,1634.405517578125,0.0,0.0,0.03999999910593033
22,1701.254599571228,0.0,0.0,0.0
23,1642.9445600509644,0.0,0.0,0.019999999552965164
24,1683.37256193161,0.0,0.0,0.0
25,1634.4045295715332,0.0,0.0,0.0
26,1690.2368669509888,0.0,0.0,0.019999999552965164
27,1685.9547176361084,0.0,0.0,0.0
28,1681.6525797843933,0.0,0.019999999552965164,0.019999999552965164
29,1660.730050086975,0.0,0.0,0.0
30,1608.8547344207764,0.0,0.0,0.019999999552965164
31,1624.307047843933,0.0,0.0,0.019999999552965164
32,1648.211187362671,0.0,0.019999999552965164,0.03999999910593033
33,1721.378924369812,0.0,0.0,0.0
34,1654.7665343284607,0.0,0.0,0.0
35,1612.3252873420715,0.0,0.019999999552965164,0.019999999552965164
36,1646.1936163902283,0.0,0.0,0.0
37,1667.9344811439514,0.0,0.0,0.019999999552965164
38,1721.1376209259033,0.0,0.0,0.019999999552965164
39,1642.2974548339844,0.0,0.0,0.019999999552965164
40,1647.977297782898,0.0,0.0,0.0
41,1662.525712966919,0.0,0.0,0.0
42,1632.25528383255,0.0,0.0,0.0
43,1664.391354084015,0.0,0.019999999552965164,0.019999999552965164
44,1702.129099369049,0.0,0.019999999552965164,0.019999999552965164
45,1662.6369380950928,0.0,0.0,0.019999999552965164
46,1645.2755045890808,0.0,0.0,0.019999999552965164
47,1682.8403363227844,0.0,0.0,0.0
48,1647.2581095695496,0.0,0.0,0.0
49,1651.1038494110107,0.0,0.0,0.0
50,1628.403618812561,0.0,0.0,0.0
51,1680.7333364486694,0.0,0.019999999552965164,0.03999999910593033
52,1660.3620600700378,0.0,0.0,0.0
53,1675.4425978660583,0.0,0.0,0.0
54,1721.7759747505188,0.0,0.0,0.0
55,1660.6459817886353,0.0,0.0,0.0
56,1678.677484512329,0.0,0.0,0.019999999552965164
57,1664.5988001823425,0.0,0.0,0.0
58,1617.1969447135925,0.0,0.0,0.0
59,1622.4831824302673,0.0,0.0,0.019999999552965164
60,1599.7701244354248,0.0,0.0,0.0
61,1675.7027978897095,0.0,0.0,0.0
62,1684.2013664245605,0.0,0.0,0.0
63,1690.531063079834,0.0,0.019999999552965164,0.03999999910593033
64,1651.3042435646057,0.0,0.0,0.0
65,1720.2121381759644,0.0,0.0,0.019999999552965164
66,1643.298327445984,0.0,0.0,0.019999999552965164
67,1613.996675491333,0.0,0.0,0.019999999552965164
68,1651.478488445282,0.0,0.0,0.03999999910593033
69,1661.36434841156,0.0,0.0,0.019999999552965164
70,1680.0001711845398,0.0,0.0,0.0
71,1610.6685280799866,0.0,0.0,0.0
72,1625.4300928115845,0.0,0.0,0.0
73,1659.8047184944153,0.0,0.0,0.0
74,1668.2755770683289,0.0,0.0,0.0
75,1618.2748346328735,0.0,0.0,0.019999999552965164
76,1680.2158226966858,0.0,0.0,0.019999999552965164
77,1684.4945130348206,0.0,0.0,0.019999999552965164
78,1667.3488368988037,0.0,0.0,0.019999999552965164
79,1692.5127940177917,0.0,0.0,0.019999999552965164
80,1629.9573693275452,0.0,0.019999999552965164,0.019999999552965164
81,1649.8367495536804,0.0,0.0,0.0
82,1679.6532735824585,0.0,0.0,0.0
83,1662.0223140716553,0.0,0.0,0.0
84,1649.6319675445557,0.0,0.0,0.0
85,1658.6181721687317,0.0,0.019999999552965164,0.019999999552965164
86,1647.170166015625,0.0,0.0,0.0
87,1664.9892568588257,0.0,0.0,0.0
88,1673.4167370796204,0.0,0.0,0.05999999865889549
89,1616.5900583267212,0.0,0.0,0.0
90,1675.7039079666138,0.0,0.0,0.0
91,1687.3669085502625,0.0,0.0,0.0
92,1621.4208097457886,0.0,0.0,0.0
93,1637.7603740692139,0.0,0.0,0.019999999552965164
94,1668.1212763786316,0.0,0.0,0.0
95,1660.4491057395935,0.0,0.0,0.0
96,1717.0575585365295,0.0,0.0,0.0
97,1609.6809706687927,0.0,0.0,0.019999999552965164
98,1666.5678806304932,0.0,0.0,0.0
99,1675.8431224822998,0.0,0.019999999552965164,0.03999999910593033
100,1666.4490852355957,0.0,0.0,0.0
101,1663.3147940635681,0.0,0.0,0.0
102,1662.7085485458374,0.0,0.019999999552965164,0.019999999552965164
103,1726.9522042274475,0.0,0.0,0.0
104,1689.1468272209167,0.0,0.019999999552965164,0.019999999552965164
105,1650.3764996528625,0.0,0.0,0.0
106,1688.0230693817139,0.0,0.0,0.0
107,1689.8983273506165,0.0,0.0,0.019999999552965164
108,1703.165159702301,0.0,0.0,0.0
109,1636.3768382072449,0.0,0.0,0.0
110,1594.0617632865906,0.0,0.0,0.0
111,1665.8708581924438,0.0,0.0,0.019999999552965164
112,1666.2223467826843,0.0,0.0,0.0
113,1644.1257810592651,0.0,0.0,0.0
114,1678.4310688972473,0.0,0.0,0.019999999552965164
115,1624.2248554229736,0.0,0.0,0.019999999552965164
116,1701.900996685028,0.0,0.0,0.0
117,1644.8673658370972,0.0,0.0,0.019999999552965164
118,1658.6044402122498,0.0,0.0,0.0
119,1634.1755719184875,0.0,0.0,0.0
120,1702.3257102966309,0.0,0.0,0.0
121,1657.7573232650757,0.0,0.0,0.019999999552965164
122,1681.6256957054138,0.0,0.0,0.03999999910593033
123,1665.6366577148438,0.0,0.019999999552965164,0.019999999552965164
124,1699.5176239013672,0.0,0.019999999552965164,0.019999999552965164
125,1644.52006483078,0.0,0.0,0.019999999552965164
126,1679.8841009140015,0.0,0.0,0.0
127,1688.5014786720276,0.0,0.019999999552965164,0.03999999910593033
128,1670.553228855133,0.0,0.0,0.03999999910593033
129,1634.2933187484741,0.0,0.0,0.0
130,1634.438955783844,0.0,0.0,0.019999999552965164
131,1673.6482076644897,0.0,0.019999999552965164,0.019999999552965164
132,1651.7180786132812,0.0,0.0,0.03999999910593033
133,1637.129934310913,0.0,0.0,0.019999999552965164
134,1627.052269935608,0.0,0.0,0.0
135,1694.5357646942139,0.0,0.0,0.0
136,1656.241271495819,0.0,0.0,0.0
137,1668.5303587913513,0.0,0.0,0.019999999552965164
138,1672.1613693237305,0.0,0.0,0.0
139,1632.5483193397522,0.0,0.0,0.0
140,1671.9276056289673,0.0,0.0,0.0
141,1705.3719568252563,0.0,0.0,0.0
142,1636.7037963867188,0.0,0.0,0.0
143,1633.1314659118652,0.0,0.0,0.0
144,1644.9052362442017,0.0,0.0,0.0
145,1637.3283400535583,0.0,0.0,0.0
146,1660.9951696395874,0.0,0.0,0.0
147,1664.6513628959656,0.0,0.0,0.0
148,1699.9970302581787,0.0,0.0,0.0
149,1697.5645122528076,0.0,0.0,0.0
150,1612.6018958091736,0.0,0.0,0.0
151,1714.686939716339,0.0,0.0,0.03999999910593033
152,1694.8749771118164,0.0,0.0,0.0
153,1671.8063850402832,0.0,0.0,0.0
154,1618.1261625289917,0.0,0.0,0.03999999910593033
155,1634.9787058830261,0.0,0.0,0.0
156,1667.4344282150269,0.0,0.0,0.0
157,1675.9887580871582,0.0,0.0,0.019999999552965164
158,1651.5187273025513,0.0,0.0,0.0
159,1675.1630311012268,0.0,0.0,0.019999999552965164
160,1670.936493396759,0.0,0.0,0.0
161,1699.7817163467407,0.0,0.0,0.03999999910593033
162,1666.898102760315,0.0,0.0,0.0
163,1606.1260805130005,0.0,0.0,0.0
164,1635.481379032135,0.0,0.0,0.0
165,1680.511344909668,0.0,0.0,0.019999999552965164
166,1670.0353894233704,0.0,0.0,0.0
167,1723.9413390159607,0.0,0.0,0.0
168,1646.467990398407,0.0,0.0,0.0
169,1659.6658806800842,0.0,0.0,0.0
170,1615.0375781059265,0.0,0.0,0.019999999552965164
171,1658.5171365737915,0.0,0.0,0.0
172,1697.4776244163513,0.0,0.0,0.0
173,1657.9892721176147,0.0,0.0,0.0
174,1660.951642036438,0.0,0.0,0.0
175,1644.2017621994019,0.0,0.0,0.0
176,1602.6729435920715,0.0,0.0,0.0
177,1662.9914164543152,0.0,0.0,0.0
178,1631.0318999290466,0.0,0.0,0.0
179,1631.844777584076,0.0,0.0,0.0
180,1680.424949169159,0.0,0.019999999552965164,0.019999999552965164
181,1658.5822744369507,0.0,0.0,0.0
182,1632.1493730545044,0.0,0.0,0.0
183,1702.491216659546,0.0,0.0,0.0
184,1652.2983679771423,0.0,0.0,0.019999999552965164
185,1664.7326865196228,0.0,0.0,0.0
186,1675.3746538162231,0.0,0.0,0.019999999552965164
187,1664.3164057731628,0.0,0.0,0.019999999552965164
188,1692.9082198143005,0.0,0.0,0.019999999552965164
189,1674.0328092575073,0.0,0.0,0.03999999910593033
190,1618.0311646461487,0.0,0.0,0.03999999910593033
191,1696.7211656570435,0.0,0.0,0.0
192,1679.9941911697388,0.0,0.0,0.019999999552965164
193,1678.5352931022644,0.0,0.0,0.03999999910593033
194,1662.603042602539,0.0,0.0,0.0
195,1624.1924376487732,0.0,0.0,0.0
196,1619.11709690094,0.0,0.0,0.019999999552965164
197,1685.1774611473083,0.0,0.0,0.0
198,1652.9032187461853,0.0,0.0,0.019999999552965164
199,1635.628436088562,0.0,0.0,0.019999999552965164
200,1625.9092011451721,0.0,0.0,0.0
201,1668.1707162857056,0.0,0.0,0.019999999552965164
202,1651.1070942878723,0.0,0.0,0.019999999552965164
203,1703.2439031600952,0.0,0.0,0.0
204,1678.359477519989,0.0,0.0,0.0
205,1665.806806564331,0.0,0.0,0.019999999552965164
206,1695.391438484192,0.0,0.0,0.0
207,1642.4642868041992,0.0,0.0,0.0
208,1662.5718655586243,0.0,0.0,0.0
209,1658.1985492706299,0.0,0.0,0.019999999552965164
210,1647.0642127990723,0.0,0.0,0.0
211,1626.6400046348572,0.0,0.0,0.0
212,1705.8285183906555,0.0,0.0,0.019999999552965164
213,1668.2844967842102,0.0,0.0,0.03999999910593033
214,1618.3250393867493,0.0,0.0,0.0
215,1678.668604850769,0.0,0.0,0.019999999552965164
216,1679.3104519844055,0.0,0.0,0.019999999552965164
217,1666.8582181930542,0.0,0.0,0.0
218,1623.569508075714,0.0,0.0,0.0
219,1619.4295592308044,0.0,0.0,0.019999999552965164
220,1657.5107831954956,0.0,0.0,0.019999999552965164
221,1634.6558742523193,0.0,0.0,0.0
222,1653.3449130058289,0.0,0.0,0.0
223,1638.8543491363525,0.0,0.0,0.0
224,1680.4557123184204,0.0,0.0,0.0
225,1587.6577138900757,0.0,0.0,0.019999999552965164
226,1637.001449584961,0.0,0.0,0.0
227,1714.3356337547302,0.0,0.0,0.0
228,1686.0272688865662,0.0,0.0,0.0
229,1688.0228476524353,0.0,0.0,0.0
230,1658.4335827827454,0.0,0.0,0.0
231,1681.1943287849426,0.0,0.0,0.019999999552965164
232,1662.6540341377258,0.0,0.0,0.0
233,1707.8469729423523,0.0,0.0,0.0
234,1691.6169600486755,0.0,0.0,0.0
235,1639.0785751342773,0.0,0.0,0.0
236,1669.337908744812,0.0,0.0,0.0
237,1618.9433522224426,0.0,0.0,0.019999999552965164
238,1693.6038422584534,0.0,0.0,0.03999999910593033
239,1648.8936128616333,0.0,0.0,0.0
240,1634.340138912201,0.0,0.0,0.0
241,1656.879596233368,0.0,0.0,0.019999999552965164
242,1662.382749080658,0.0,0.0,0.0
243,1680.5228967666626,0.0,0.0,0.0
244,1655.944254875183,0.0,0.019999999552965164,0.019999999552965164
245,1694.3678941726685,0.0,0.0,0.0
246,1675.2362504005432,0.0,0.0,0.0
247,1730.1722497940063,0.0,0.0,0.0
248,1665.8824853897095,0.0,0.0,0.03999999910593033
249,1603.3410964012146,0.0,0.0,0.0
250,1631.6738805770874,0.0,0.0,0.0
251,1678.1109704971313,0.0,0.0,0.019999999552965164
252,1667.9076142311096,0.0,0.0,0.0
253,1692.539649963379,0.0,0.0,0.0
254,1672.9431328773499,0.0,0.0,0.0
255,1653.1495847702026,0.0,0.0,0.019999999552965164
256,1623.244900226593,0.0,0.019999999552965164,0.03999999910593033
257,1694.6477818489075,0.0,0.0,0.0
258,1649.9002265930176,0.0,0.0,0.0
259,1673.4027338027954,0.0,0.0,0.0
260,1621.0482115745544,0.0,0.0,0.0
261,1637.0874876976013,0.0,0.0,0.0
262,1669.8165016174316,0.0,0.0,0.0
263,1666.388008594513,0.0,0.019999999552965164,0.019999999552965164
264,1630.4868788719177,0.0,0.0,0.019999999552965164
265,1655.3058776855469,0.0,0.0,0.0
266,1622.3413157463074,0.0,0.019999999552965164,0.019999999552965164
267,1679.4289445877075,0.0,0.0,0.03999999910593033
268,1690.4414048194885,0.0,0.0,0.0
269,1674.7302012443542,0.0,0.0,0.0
270,1671.964626789093,0.0,0.0,0.0
271,1639.567801475525,0.0,0.019999999552965164,0.03999999910593033
272,1636.0075392723083,0.0,0.0,0.019999999552965164
273,1615.2240409851074,0.0,0.0,0.0
274,1682.7936639785767,0.0,0.0,0.019999999552965164
275,1629.7802591323853,0.0,0.0,0.0
276,1648.298433303833,0.0,0.0,0.0
277,1688.254201889038,0.0,0.0,0.0
278,1647.5836749076843,0.0,0.0,0.0
279,1666.0698614120483,0.0,0.0,0.0
280,1729.4379663467407,0.0,0.0,0.019999999552965164
281,1646.4936542510986,0.0,0.0,0.019999999552965164
282,1669.57776927948,0.0,0.0,0.019999999552965164
283,1644.4001083374023,0.0,0.0,0.0
284,1664.6904678344727,0.0,0.0,0.03999999910593033
285,1693.4249472618103,0.0,0.0,0.019999999552965164
286,1649.2912349700928,0.0,0.0,0.0
287,1670.517315864563,0.0,0.0,0.05999999865889549
288,1622.1749558448792,0.0,0.0,0.0
289,1732.1074194908142,0.0,0.0,0.0
290,1638.5183362960815,0.0,0.0,0.019999999552965164
291,1669.4448318481445,0.0,0.0,0.0
292,1618.944640159607,0.0,0.0,0.019999999552965164
293,1668.0728960037231,0.0,0.0,0.0
294,1674.6715531349182,0.0,0.0,0.0
295,1665.8867812156677,0.0,0.0,0.0
296,1652.9653453826904,0.0,0.019999999552965164,0.05999999865889549
297,1689.781593322754,0.0,0.0,0.0
298,1631.6887602806091,0.0,0.0,0.03999999910593033
299,1629.3412117958069,0.0,0.0,0.03999999910593033
300,1654.1169891357422,0.0,0.0,0.0
301,1654.587779045105,0.0,0.0,0.03999999910593033
302,1654.7879891395569,0.0,0.0,0.0
303,1700.7934184074402,0.0,0.0,0.019999999552965164
304,1650.109218597412,0.0,0.0,0.0
305,1666.285161972046,0.0,0.0,0.0
306,1635.7176985740662,0.0,0.0,0.0
307,1660.3786234855652,0.0,0.0,0.0
308,1661.4165263175964,0.0,0.019999999552965164,0.019999999552965164
309,1635.9781703948975,0.0,0.0,0.0
310,1666.1540479660034,0.0,0.0,0.0
311,1680.920467376709,0.0,0.0,0.019999999552965164
312,1670.7158613204956,0.0,0.0,0.019999999552965164
313,1607.894275188446,0.0,0.0,0.0
314,1683.850082874298,0.0,0.0,0.019999999552965164
315,1658.4962911605835,0.0,0.0,0.0
316,1711.1825981140137,0.0,0.0,0.019999999552965164
317,1609.9956674575806,0.0,0.0,0.019999999552965164
318,1656.4688711166382,0.0,0.0,0.019999999552965164
319,1692.115698337555,0.0,0.0,0.0
320,1648.6917080879211,0.0,0.0,0.03999999910593033
321,1667.0907754898071,0.0,0.0,0.0
322,1644.1461763381958,0.0,0.019999999552965164,0.019999999552965164
323,1658.5264649391174,0.0,0.0,0.019999999552965164
324,1654.6761512756348,0.0,0.0,0.0
325,1646.6055512428284,0.0,0.0,0.0
326,1650.8736834526062,0.0,0.0,0.0
327,1641.4887356758118,0.0,0.0,0.03999999910593033
328,1686.8394408226013,0.0,0.0,0.019999999552965164
329,1642.5995078086853,0.0,0.0,0.0
330,1701.766080379486,0.0,0.0,0.03999999910593033
331,1633.660403251648,0.0,0.0,0.0
332,1639.8530187606812,0.0,0.0,0.0
333,1667.3271741867065,0.0,0.0,0.0
334,1644.063189983368,0.0,0.0,0.0
335,1629.0342745780945,0.0,0.0,0.0
336,1640.1650547981262,0.0,0.0,0.0
337,1696.8028984069824,0.0,0.0,0.0
338,1609.8855690956116,0.0,0.0,0.019999999552965164
339,1667.9513521194458,0.0,0.0,0.0
340,1662.8777298927307,0.0,0.0,0.0
341,1670.1073441505432,0.0,0.0,0.0
342,1614.3692874908447,0.0,0.0,0.019999999552965164
343,1681.6535124778748,0.0,0.019999999552965164,0.019999999552965164
344,1662.1055302619934,0.0,0.0,0.0
345,1651.3384337425232,0.0,0.0,0.0
346,1603.8851370811462,0.0,0.0,0.019999999552965164
347,1650.4657425880432,0.0,0.0,0.0
348,1665.7357816696167,0.0,0.0,0.0
349,1636.866910457611,0.0,0.0,0.0
350,1627.383529663086,0.0,0.0,0.0
351,1664.4555320739746,0.0,0.0,0.03999999910593033
352,1664.975417137146,0.0,0.0,0.0
353,1671.8645296096802,0.0,0.0,0.0
354,1696.2300715446472,0.0,0.0,0.03999999910593033
355,1674.5518021583557,0.0,0.0,0.0
356,1666.8099241256714,0.0,0.0,0.019999999552965164
357,1668.3482332229614,0.0,0.0,0.0
358,1668.3961758613586,0.0,0.0,0.019999999552965164
359,1619.7004809379578,0.0,0.0,0.0
360,1658.368848323822,0.0,0.0,0.0
361,1654.0314316749573,0.0,0.0,0.0
362,1618.7164645195007,0.0,0.0,0.019999999552965164
363,1696.261875152588,0.0,0.0,0.0
364,1632.6607933044434,0.0,0.019999999552965164,0.019999999552965164
365,1597.197871685028,0.0,0.0,0.019999999552965164
366,1726.0141396522522,0.0,0.0,0.0
367,1641.5219135284424,0.0,0.0,0.019999999552965164
368,1667.1756744384766,0.0,0.0,0.0
369,1667.1231818199158,0.0,0.0,0.0
370,1720.282383441925,0.0,0.0,0.0
371,1701.7257356643677,0.0,0.0,0.0
372,1624.6941657066345,0.0,0.0,0.019999999552965164
373,1675.312608718872,0.0,0.0,0.0
374,1705.3454127311707,0.0,0.0,0.0
375,1656.4846677780151,0.0,0.0,0.03999999910593033
376,1668.5753684043884,0.0,0.0,0.0
377,1619.273856163025,0.0,0.0,0.0
378,1686.8146104812622,0.0,0.0,0.0
379,1671.3035378456116,0.0,0.0,0.0
380,1683.2785716056824,0.0,0.0,0.0
381,1695.6905345916748,0.0,0.0,0.0
382,1663.7899594306946,0.0,0.0,0.0
383,1691.7012186050415,0.0,0.019999999552965164,0.019999999552965164
384,1697.2149362564087,0.0,0.0,0.019999999552965164
385,1690.527995109558,0.0,0.0,0.0
386,1663.9097418785095,0.0,0.0,0.0
387,1691.8037796020508,0.0,0.0,0.0
388,1623.126976966858,0.0,0.0,0.019999999552965164
389,1706.100327014923,0.0,0.03999999910593033,0.03999999910593033
390,1637.5034823417664,0.0,0.0,0.019999999552965164
391,1681.407361984253,0.0,0.0,0.0
392,1676.9508714675903,0.0,0.0,0.03999999910593033
393,1696.8983154296875,0.0,0.0,0.019999999552965164
394,1642.2388367652893,0.0,0.0,0.019999999552965164
395,1662.6649341583252,0.0,0.0,0.0
396,1653.1850399971008,0.0,0.0,0.019999999552965164
397,1693.8324909210205,0.0,0.0,0.0
398,1689.782527923584,0.0,0.0,0.0
399,1692.4915018081665,0.0,0.0,0.019999999552965164
400,1677.8987121582031,0.0,0.0,0.0
401,1691.990843296051,0.0,0.0,0.03999999910593033
402,1674.5054821968079,0.0,0.0,0.019999999552965164
403,1721.5276923179626,0.0,0.0,0.0
404,1651.986135482788,0.0,0.0,0.0
405,1676.0379033088684,0.0,0.0,0.0
406,1656.0020685195923,0.0,0.0,0.019999999552965164
407,1684.151370048523,0.0,0.0,0.0
408,1681.073052406311,0.0,0.0,0.0
409,1680.8250064849854,0.0,0.0,0.0
410,1682.1160173416138,0.0,0.0,0.019999999552965164
411,1636.2364501953125,0.0,0.0,0.0
412,1689.122893333435,0.0,0.0,0.0
413,1673.5307517051697,0.0,0.0,0.0
414,1692.5515217781067,0.0,0.0,0.0
415,1647.2986931800842,0.0,0.0,0.0
416,1641.2744035720825,0.0,0.0,0.019999999552965164
417,1714.1354041099548,0.0,0.0,0.019999999552965164
418,1680.1338448524475,0.0,0.0,0.019999999552965164
419,1619.8160562515259,0.0,0.0,0.03999999910593033
420,1667.161937713623,0.0,0.0,0.0
421,1684.1595516204834,0.0,0.0,0.0
422,1649.49538230896,0.0,0.0,0.019999999552965164
423,1650.6232709884644,0.0,0.0,0.0
424,1741.004280090332,0.0,0.0,0.019999999552965164
425,1638.070795059204,0.0,0.0,0.0
426,1581.2794823646545,0.0,0.0,0.0
427,1688.7740297317505,0.0,0.019999999552965164,0.019999999552965164
428,1703.3168725967407,0.0,0.0,0.019999999552965164
429,1644.2263541221619,0.0,0.0,0.0
430,1639.958528995514,0.0,0.0,0.019999999552965164
431,1678.8300113677979,0.0,0.0,0.0
432,1622.1629042625427,0.0,0.0,0.0
433,1613.077220439911,0.0,0.0,0.0
434,1664.5806760787964,0.0,0.0,0.0
435,1665.931948184967,0.0,0.019999999552965164,0.019999999552965164
436,1646.3756365776062,0.0,0.0,0.0
437,1612.4674224853516,0.0,0.0,0.019999999552965164
438,1677.7012939453125,0.0,0.0,0.0
439,1651.683165550232,0.0,0.0,0.0
440,1679.289279460907,0.0,0.0,0.019999999552965164
441,1596.0639905929565,0.0,0.0,0.019999999552965164
442,1643.362817287445,0.0,0.0,0.0
