episode,total_reward,loss,ndcg@5,slate_mrr,click_rate,epsilon
0,68.33102670311928,0.0,0.0,0.0,0.7,0.1992313712835312
1,-644.0185631513596,0.0,0.0,0.019999999552965164,0.4,0.19846569001674652
2,-661.0316604971886,0.2871343888858757,0.0,0.002857143059372902,0.3,0.19770294427871704
3,-889.9743731617928,0.18702235808596016,0.0,0.0,0.1,0.19694313406944275
4,-811.3613540530205,0.18502889005467296,0.0,0.0,0.0,0.19618622958660126
5,-758.2901750802994,0.20466626657173037,0.0,0.0,0.3,0.19543223083019257
6,-734.2214223146439,0.2144967314042151,0.0,0.0,0.0,0.19468121230602264
7,-755.2250229716301,0.21351217329502106,0.0,0.0,0.1,0.19393308460712433
8,-919.7773331999779,0.20578948898240923,0.0,0.20000000298023224,0.0,0.19318783283233643
9,-818.303929567337,0.20847854498773813,0.0,0.0,0.1,0.19244544208049774
10,-920.2663086354733,0.23100639751181007,0.0,0.019999999552965164,0.2,0.19170589745044708
11,-851.9488077163696,0.22230133350938558,0.0,0.0,0.3,0.19096919894218445
12,-867.3255906105042,0.21235228043049573,0.0,0.0,0.0,0.19023533165454865
13,-860.6616671681404,0.1725625417008996,0.0,0.0,0.1,0.18950428068637848
14,-1007.1274079680443,0.22079734306782484,0.0,0.019999999552965164,0.3,0.18877603113651276
15,-822.2573111057281,0.20639702243730426,0.0,0.0,0.2,0.18805056810379028
16,-917.8542800843716,0.23073470486328007,0.0,0.0,0.2,0.18732787668704987
