episode,total_reward,loss,ndcg@5,slate_mrr,click_rate,epsilon
0,1210.7850329875946,0.0,0.0,0.0,0.8,0.1992313712835312
1,1287.1236081123352,0.0,0.0,0.0,0.9,0.19846569001674652
2,1607.577377796173,0.09982264251217689,0.0,0.0,1.0,0.19770294427871704
3,1608.584806919098,0.028796693215845152,0.0,0.0,1.0,0.19694313406944275
4,1789.036889076233,0.008643909057718701,0.0,0.0,1.0,0.19618622958660126
5,1661.8359217643738,0.01058058935625013,0.0,0.0,0.9,0.19543223083019257
6,1824.6986246109009,0.012260304003721103,0.019999999552965164,0.02500000037252903,1.0,0.19468121230602264
7,1782.233672618866,0.01723902202094905,0.0,0.0,1.0,0.19393308460712433
8,1680.5958695411682,0.017036041830433533,0.0,0.0,1.0,0.19318783283233643
9,1674.1090812683105,0.018959059646585955,0.0,0.002857143059372902,1.0,0.19244544208049774
10,1832.4001626968384,0.02023846165975556,0.0,0.0,1.0,0.19170589745044708
11,1731.3971028327942,0.02194300668896176,0.0,0.0,1.0,0.19096919894218445
12,1503.4908266067505,0.022245440371916628,0.0,0.0,1.0,0.19023533165454865
13,1721.4746084213257,0.023229913968825712,0.0,0.0,1.0,0.18950428068637848
14,1840.3100385665894,0.02434388845344074,0.0,0.0,0.9,0.18877603113651276
15,2042.241919517517,0.024224229707033373,0.0,0.0,1.0,0.18805056810379028
16,1818.0522332191467,0.02442004632903263,0.0,0.0,1.0,0.18732787668704987
17,1783.385320186615,0.02597486526938155,0.0,0.0,0.9,0.1866079419851303
18,1906.8117332458496,0.025747674013255163,0.0,0.0,0.9,0.18589076399803162
19,1898.8984680175781,0.02730039447080344,0.0,0.0,1.0,0.1851763129234314
20,1904.4319853782654,0.026948484376771376,0.0,0.0,0.9,0.18446458876132965
21,1833.901409626007,0.02834685113513842,0.0,0.0,1.0,0.18375557661056519
22,1811.8603744506836,0.02688655458856374,0.0,0.0,1.0,0.1830492615699768
23,1861.8033409118652,0.02594143711263314,0.019999999552965164,0.08500000089406967,0.9,0.1823459267616272
24,1756.7714285850525,0.029116675413679332,0.0,0.0,1.0,0.1816452592611313
25,1647.5745677947998,0.02909301005420275,0.0,0.0,1.0,0.18094725906848907
26,1813.0140380859375,0.028264393905410544,0.0,0.0,1.0,0.18025191128253937
27,1748.2301440238953,0.0277071265631821,0.0,0.0,1.0,0.17955921590328217
28,1789.5652742385864,0.02719264595536515,0.0,0.0,1.0,0.17886914312839508
29,1891.8453350067139,0.028261110997991636,0.0,0.0,0.9,0.17818167805671692
30,1842.3650498390198,0.029148593856953085,0.0,0.11999999731779099,1.0,0.1774968057870865
31,1831.3030695915222,0.028430879793595522,0.0,0.0,1.0,0.1768145114183426
32,1707.6821074485779,0.030663159652613105,0.0,0.0,1.0,0.17613501846790314
33,1982.4559354782104,0.02903851989307441,0.0,0.0,1.0,0.17545826733112335
34,1913.096619606018,0.028180490937083958,0.0,0.019999999552965164,1.0,0.1747840791940689
35,1781.1997232437134,0.02764628408011049,0.0,0.0,1.0,0.17411242425441742
36,1641.4640831947327,0.029104528781026602,0.0,0.0,1.0,0.1734432876110077
37,1829.4740271568298,0.029108692635782064,0.0,0.0,1.0,0.17277665436267853
38,2020.997920036316,0.02824102577404119,0.0,0.0,1.0,0.17211250960826874
39,1793.9110388755798,0.026766086177667604,0.0,0.0,1.0,0.1714508980512619
40,1845.8260226249695,0.02660048342891969,0.0,0.0,1.0,0.17079220712184906
41,1933.0694451332092,0.028759401836432517,0.0,0.0,0.9,0.1701359748840332
42,2058.6026740074158,0.029905597775941716,0.0,0.0,1.0,0.16948218643665314
43,1986.802752494812,0.028238991572288798,0.0,0.18000000715255737,1.0,0.16883082687854767
44,1908.8049154281616,0.027942140533123164,0.0,0.0,1.0,0.1681818813085556
45,1721.4403972625732,0.027727486364892685,0.0,0.0,1.0,0.16753531992435455
46,1861.0357856750488,0.029489111580187456,0.0,0.0,1.0,0.16689158976078033
47,1724.5467700958252,0.028119365136371925,0.0,0.0,1.0,0.16625039279460907
48,1729.2811284065247,0.027201078837970273,0.0,0.0,0.9,0.16561155021190643
49,1715.1409468650818,0.028058699771063404,0.0,0.0,1.0,0.16497504711151123
50,1859.0748043060303,0.027550158653757536,0.0,0.0,1.0,0.16434088349342346
51,1790.0848293304443,0.027679982160916553,0.0,0.0,1.0,0.16370907425880432
52,1949.730101108551,0.027108826325275004,0.0,0.0,1.0,0.16308020055294037
53,1825.7213912010193,0.02740198959596455,0.0,0.0,1.0,0.16245360672473907
54,1773.0275559425354,0.029767018753336743,0.0,0.0,1.0,0.16182929277420044
55,1673.3487787246704,0.029586114481207914,0.0,0.0,1.0,0.16120722889900208
56,1767.3892364501953,0.029721780037507414,0.0,0.0,1.0,0.16058741509914398
57,1790.653974533081,0.029764749287860468,0.0,0.0,0.9,0.1599705070257187
58,1897.2708220481873,0.028700526899774557,0.0,0.0,1.0,0.15935589373111725
59,1846.2528853416443,0.02774790725670755,0.0,0.0,1.0,0.1587434858083725
60,1702.1412959098816,0.02843591299315449,0.0,0.0,1.0,0.15813325345516205
61,1606.2203345298767,0.02925396562437527,0.0,0.0,1.0,0.15752528607845306
62,1923.878451347351,0.028416163520305418,0.0,0.0,1.0,0.15692020952701569
63,1923.8431944847107,0.03124973530706484,0.0,0.0,1.0,0.15631727874279022
64,1736.4826436042786,0.030143533648806623,0.0,0.0,1.0,0.15571647882461548
65,1888.9644117355347,0.030124352651182563,0.0,0.0,1.0,0.15511777997016907
66,1812.675374031067,0.03056295045185834,0.0,0.0,1.0,0.15452173352241516
67,1878.2339959144592,0.029501055994769557,0.0,0.0,1.0,0.15392811596393585
68,1967.0277013778687,0.028001970124896615,0.0,0.0,1.0,0.1533365696668625
69,1726.277777671814,0.02930284041329287,0.0,0.0,1.0,0.15274706482887268
70,1835.3243045806885,0.02692893188854214,0.0,0.0,1.0,0.15215995907783508
71,1962.2203660011292,0.0262946658290457,0.0,0.14000000059604645,1.0,0.1515754759311676
72,1865.8756003379822,0.027008101436076685,0.0,0.0,0.9,0.1509930044412613
73,1812.2205724716187,0.02840501763159409,0.019999999552965164,0.1066666692495346,1.0,0.15041251480579376
74,1866.7282719612122,0.029352411528816447,0.0,0.0,0.9,0.14983434975147247
75,1731.1432976722717,0.02813698328449391,0.0,0.0,1.0,0.1492588073015213
76,2198.655408859253,0.0294150197255658,0.0,0.0,0.9,0.14868521690368652
77,1912.232895374298,0.028572290459414944,0.0,0.0,0.9,0.14811356365680695
78,1764.7172951698303,0.02948375604231842,0.0,0.006857143249362707,1.0,0.14754433929920197
79,1874.878812789917,0.031174156895140186,0.0,0.0,1.0,0.14697757363319397
80,1871.3150782585144,0.02825088448706083,0.0,0.0,1.0,0.1464127004146576
81,1938.8904614448547,0.029263798312749712,0.0,0.0,1.0,0.14584968984127045
82,1822.785900592804,0.028928479426540435,0.0,0.019999999552965164,0.8,0.14528940618038177
83,1986.9919300079346,0.031310293740243654,0.0,0.0,1.0,0.14473120868206024
84,1878.0724267959595,0.030175344882300125,0.0,0.14000000059604645,1.0,0.14417484402656555
85,1842.3316226005554,0.02870695866935421,0.0,0.0,0.9,0.14362052083015442
86,1826.7382831573486,0.03201612185279373,0.0,0.0,1.0,0.14306892454624176
87,1842.4883399009705,0.03064740151865408,0.0,0.0,0.9,0.14251911640167236
88,1939.1877360343933,0.030114113095914944,0.0,0.0,0.9,0.14197105169296265
89,1779.925947189331,0.029539117581443862,0.0,0.0,1.0,0.14142566919326782
90,1753.4253611564636,0.02788042484316975,0.0,0.0,1.0,0.14088231325149536
91,1780.0115842819214,0.027849079046864064,0.0,0.0,1.0,0.1403406709432602
92,2041.0153822898865,0.02816442692594137,0.0,0.0,0.9,0.1398012489080429
93,1800.119191646576,0.02681468735274393,0.0,0.0,1.0,0.1392642706632614
94,1876.8827624320984,0.028126147540751843,0.0,0.0,1.0,0.13872896134853363
95,1841.6228442192078,0.02886083354766015,0.0,0.0,1.0,0.13819549977779388
96,1902.3994364738464,0.029115731834899634,0.0,0.0,0.9,0.137664794921875
97,1859.5448956489563,0.029467440180596896,0.0,0.0,1.0,0.13713571429252625
98,1828.374963760376,0.02864330996177159,0.0,0.0,0.9,0.13660821318626404
99,1886.0717177391052,0.027675513062276877,0.0,0.0,1.0,0.1360836923122406
100,1828.646601676941,0.028892908580601215,0.0,0.0,1.0,0.13556073606014252
101,1711.8625721931458,0.029705154994153417,0.0,0.0,1.0,0.1350393146276474
102,1868.712281703949,0.03227049456210807,0.0,0.0,1.0,0.1345207542181015
103,1887.879168510437,0.030264739131671377,0.0,0.0,1.0,0.13400383293628693
104,1861.541265964508,0.030965042333118618,0.0,0.0,1.0,0.13348838686943054
105,1823.4593834877014,0.030472071695839986,0.0,0.0,1.0,0.13297578692436218
106,1827.3026504516602,0.02980539331154432,0.0,0.1599999964237213,1.0,0.13246478140354156
107,1741.9955863952637,0.03050161409424618,0.0,0.0,0.9,0.13195522129535675
108,1690.354253768921,0.030962035757256673,0.0,0.0,1.0,0.13144858181476593
109,1734.2714734077454,0.029661598078673704,0.0,0.0,1.0,0.1309434026479721
110,1736.6060814857483,0.027401310267741792,0.0,0.0,1.0,0.13043974339962006
111,1938.4632787704468,0.02895467594440561,0.0,0.0,1.0,0.12993893027305603
112,1784.189935207367,0.03207390656927601,0.0,0.0,1.0,0.12943947315216064
113,2112.811768054962,0.03099031355115585,0.0,0.0,0.9,0.12894177436828613
114,1810.3995642662048,0.031085191699676214,0.0,0.0,1.0,0.12844662368297577
115,1836.3472971916199,0.03029102281550877,0.0,0.0,0.9,0.12795276939868927
116,1971.3399138450623,0.031717208776972254,0.0,0.0,0.9,0.1274610310792923
117,1944.432336807251,0.02843595179205295,0.0,0.0,1.0,0.12697142362594604
118,1811.6526489257812,0.03023570548684802,0.0,0.0,1.0,0.12648305296897888
119,2177.5652809143066,0.028698762068524956,0.0,0.0,1.0,0.12599727511405945
120,2057.92560005188,0.030703218701528385,0.0,0.0,1.0,0.12551310658454895
121,1838.056100845337,0.030481675533228555,0.0,0.0,0.9,0.1250303089618683
122,1866.4335980415344,0.0328064551227726,0.0,0.0,1.0,0.12454970926046371
123,1845.6446566581726,0.03143629422062077,0.0,0.0,1.0,0.12407097220420837
124,1849.684012889862,0.030436769658117556,0.0,0.0,1.0,0.12359416484832764
125,1879.9595441818237,0.029115235000499524,0.0,0.0,0.9,0.12311924993991852
126,1855.4921531677246,0.03087670119595714,0.0,0.0,1.0,0.12264610081911087
127,1718.9230751991272,0.03233123095706105,0.0,0.0,0.9,0.1221747100353241
128,1845.5873680114746,0.03028182159468997,0.0,0.0,0.9,0.12170509248971939
129,1722.5714993476868,0.02949297962593846,0.0,0.0,1.0,0.12123746424913406
130,1851.809278011322,0.030674535915022717,0.03999999910593033,0.02500000037252903,0.9,0.12077157944440842
131,2001.80002450943,0.03083867816545535,0.0,0.0,1.0,0.12030743807554245
132,1891.3893294334412,0.03038963657338172,0.0,0.0,1.0,0.11984503269195557
133,1820.4675726890564,0.030195244948845356,0.0,0.0,1.0,0.11938436329364777
134,2015.4767799377441,0.03049584887630772,0.0,0.0,1.0,0.11892565339803696
135,1727.0668196678162,0.02948025856167078,0.0,0.0,1.0,0.11846865713596344
136,1808.7682375907898,0.02931511367787607,0.0,0.14000000059604645,1.0,0.11801338195800781
137,1702.0551180839539,0.029815267720259726,0.0,0.0,1.0,0.11755981296300888
138,1868.610198020935,0.030919699141522868,0.0,0.019999999552965164,1.0,0.11710795760154724
139,2042.275691986084,0.03035470219969284,0.0,0.0,1.0,0.11665786802768707
140,1883.2591648101807,0.02986036276037339,0.0,0.0,1.0,0.11620961874723434
141,1716.2510285377502,0.028034184088464826,0.0,0.0,1.0,0.11576305329799652
142,1802.000253200531,0.02869672746339347,0.0,0.0,0.9,0.1153181791305542
143,2068.914801597595,0.030173553274944424,0.0,0.0,0.9,0.11487498134374619
144,1742.079614162445,0.032407553138327785,0.0,0.0,1.0,0.11443346738815308
145,1988.9017753601074,0.029406898430315777,0.0,0.0,1.0,0.11399362236261368
146,1918.934368133545,0.030841092182090506,0.0,0.0,1.0,0.11355553567409515
147,2003.898498058319,0.030770391679834575,0.0,0.0,1.0,0.11311919242143631
148,1928.911702632904,0.033192853103391824,0.0,0.0,1.0,0.11268450319766998
149,1946.74347782135,0.030630129214259796,0.0,0.0,1.0,0.11225146800279617
150,1774.5081067085266,0.028762523297918962,0.019999999552965164,0.019999999552965164,1.0,0.11182007938623428
151,1861.8020224571228,0.03092751739663072,0.0,0.0,1.0,0.11139032989740372
152,1686.7735171318054,0.030389764967840165,0.0,0.0,1.0,0.11096221953630447
153,1867.076195716858,0.030460915202274917,0.0,0.0,1.0,0.11053574085235596
154,1948.4044632911682,0.030809121606871485,0.0,0.0,0.9,0.11011088639497757
155,1783.3692932128906,0.02970511601306498,0.0,0.0,1.0,0.10968774557113647
156,2129.4037322998047,0.02975260908482596,0.0,0.0,1.0,0.1092662513256073
157,1897.8416452407837,0.028334707238827833,0.0,0.11999999731779099,1.0,0.10884636640548706
158,1884.0270280838013,0.029767359707620927,0.0,0.0,1.0,0.10842808336019516
159,1775.5324897766113,0.030329255129909142,0.0,0.0,1.0,0.1080114021897316
