episode,total_reward,loss,ndcg@5,slate_mrr,click_rate,epsilon
0,1565.9127469062805,0.0,0.0,0.0,1.0,0.1992313712835312
1,677.0681270956993,0.0,0.0,0.14000000059604645,0.8,0.19846569001674652
2,1572.66959130764,0.11516162422992805,0.019999999552965164,0.019999999552965164,1.0,0.19770294427871704
3,1967.5372183322906,0.012057729110820219,0.0,0.0,1.0,0.19694313406944275
4,1691.229290485382,0.007650609392439947,0.0,0.0,1.0,0.19618622958660126
5,2655.683145046234,0.007682134855422192,0.0,0.0,0.9,0.19543223083019257
6,1866.4948015213013,0.008700716935563832,0.0,0.0,1.0,0.19468121230602264
7,2080.2993745803833,0.008943593122530728,0.0,0.0,0.9,0.19393308460712433
8,1596.4533869028091,0.008280596642289311,0.0,0.0,1.0,0.19318783283233643
9,2262.4152698516846,0.008140211750287563,0.0,0.0,1.0,0.19244544208049774
10,2521.4885301589966,0.009536911629838869,0.0,0.019999999552965164,1.0,0.19170589745044708
11,1881.1649079322815,0.008869611071422695,0.0,0.0,1.0,0.19096919894218445
12,2136.4463913440704,0.009226241866126656,0.0,0.0,1.0,0.19023533165454865
13,2040.447585105896,0.008869732094462962,0.0,0.0,0.9,0.18950428068637848
14,2542.4776997566223,0.008727079939562827,0.0,0.019999999552965164,0.9,0.18877603113651276
15,2005.522202014923,0.009001751851756126,0.0,0.05999999865889549,1.0,0.18805056810379028
16,1906.9736168384552,0.009260478978976607,0.0,0.0,0.9,0.18732787668704987
17,2490.738506793976,0.009309195273090154,0.0,0.0,1.0,0.1866079419851303
18,2401.1718237400055,0.009834476672112942,0.0,0.0,1.0,0.18589076399803162
19,2947.506630420685,0.009994516433216631,0.0,0.03999999910593033,1.0,0.1851763129234314
20,2254.2729001045227,0.009961114559555426,0.0,0.0,1.0,0.18446458876132965
21,1608.351725578308,0.00978878533700481,0.0,0.0,0.9,0.18375557661056519
22,1866.1154057979584,0.009828426083549857,0.0,0.1599999964237213,1.0,0.1830492615699768
23,2205.5853366851807,0.009641696880571544,0.0,0.0,1.0,0.1823459267616272
24,2223.5954513549805,0.009622805926483124,0.0,0.0024999999441206455,0.9,0.1816452592611313
25,2244.595950603485,0.009577365457080305,0.0,0.0,1.0,0.18094725906848907
26,2105.238647699356,0.009889366873539984,0.0,0.0,1.0,0.18025191128253937
27,2135.0314679145813,0.00950704553630203,0.0,0.0,1.0,0.17955921590328217
28,2257.1951987743378,0.009346810939023271,0.18000000715255737,0.18000000715255737,1.0,0.17886914312839508
29,2584.3308510780334,0.009557118113152683,0.0,0.0,1.0,0.17818167805671692
30,2327.4803936481476,0.009886597295990214,0.0,0.0,0.9,0.1774968057870865
31,1619.1779206991196,0.009328845818527044,0.0,0.0,1.0,0.1768145114183426
32,2199.876163959503,0.009406285166041925,0.0,0.0,0.9,0.17613501846790314
33,1783.764999628067,0.009581338379066438,0.0,0.0,1.0,0.17545826733112335
34,2325.5143859386444,0.009850635617040098,0.0,0.002222222276031971,1.0,0.1747840791940689
35,1815.380156993866,0.00943707825616002,0.0,0.0,0.9,0.17411242425441742
36,2746.561858177185,0.009609151128679515,0.0,0.0,1.0,0.1734432876110077
37,2207.477687358856,0.00970342222135514,0.0,0.0,1.0,0.17277665436267853
38,2235.887487888336,0.009728508517146111,0.0,0.0,1.0,0.17211250960826874
39,2201.7612664699554,0.00951127237873152,0.0,0.0,1.0,0.1714508980512619
40,3050.5216693878174,0.009371751367580146,0.0,0.0,0.9,0.17079220712184906
41,1762.1329131126404,0.009787694643018768,0.0,0.0,0.9,0.1701359748840332
42,1670.6434109210968,0.009835974525194614,0.0,0.0,0.9,0.16948218643665314
43,2543.0767579078674,0.009662425450515003,0.0,0.0,1.0,0.16883082687854767
44,2331.8583397865295,0.009912069686688483,0.0,0.0,1.0,0.1681818813085556
45,2152.2017011642456,0.0093934767995961,0.0,0.07999999821186066,1.0,0.16753531992435455
46,1879.5213594436646,0.009169427379965782,0.0,0.0,1.0,0.16689158976078033
47,2809.0553941726685,0.009544282387942075,0.0,0.0,1.0,0.16625039279460907
48,2191.2337357997894,0.009482579326722772,0.0,0.18000000715255737,1.0,0.16561155021190643
49,1800.1831305027008,0.009510818911949173,0.0,0.0,1.0,0.16497504711151123
50,1912.8097236156464,0.010300317371729761,0.019999999552965164,0.03999999910593033,1.0,0.16434088349342346
51,2157.319224357605,0.009922579191625118,0.0,0.0,1.0,0.16370907425880432
52,2241.2988612651825,0.009548995692748577,0.0,0.0,0.9,0.16308020055294037
53,2943.4338331222534,0.01041342894313857,0.0,0.0,1.0,0.16245360672473907
54,2533.455087661743,0.010173936844803394,0.0,0.0,1.0,0.16182929277420044
55,2264.1658067703247,0.010046146471286193,0.0,0.0,1.0,0.16120722889900208
56,2698.7544560432434,0.009874815747607499,0.0,0.0,1.0,0.16058741509914398
57,2170.520629644394,0.009659806846175343,0.0,0.0,1.0,0.1599705070257187
58,2262.870035648346,0.009868903975002468,0.0,0.0,1.0,0.15935589373111725
59,2054.5236389636993,0.010412873765453697,0.0,0.0,1.0,0.1587434858083725
