episode,total_reward,loss,ndcg@5,slate_mrr,click_rate
0,3684.426561355591,0.0,0.0,0.0,1.0
1,3299.3942880630493,0.0,0.0,0.10000000149011612,1.0
2,4004.521203994751,0.0,0.0,0.0,1.0
3,3581.445394515991,0.0,0.0,0.0,1.0
4,3734.9634895324707,0.0,0.0,0.0,1.0
5,3762.9493284225464,0.0,0.0,0.10000000149011612,1.0
6,3549.468331336975,0.0,0.0,0.0,1.0
7,3524.453775405884,0.0,0.0,0.0,1.0
8,3553.100785255432,0.0,0.0,0.0,1.0
9,3253.4559593200684,0.0,0.0,0.0,1.0
10,3614.60617351532,0.0,0.0,0.019999999552965164,1.0
11,3381.5622720718384,0.0,0.0,0.0,1.0
12,3588.0858192443848,0.0,0.0,0.0,1.0
13,3606.150176048279,0.0,0.0,0.0,1.0
14,4005.6720113754272,0.0,0.0,0.0,1.0
15,3668.8010663986206,0.0,0.0,0.0,1.0
16,3492.403688430786,0.0,0.0,0.0,1.0
17,3348.3085508346558,0.0,0.0,0.0,1.0
18,3581.8073120117188,0.0,0.0,0.0,1.0
19,3252.7591218948364,0.0,0.0,0.0,1.0
20,3656.109440803528,0.0,0.0,0.0,1.0
21,3572.408266067505,0.0,0.0,0.0,1.0
22,3654.620740890503,0.0,0.0,0.0,1.0
23,3657.609766960144,0.0,0.0,0.0,1.0
24,3521.095443725586,0.0,0.0,0.0,1.0
25,3482.719274520874,0.0,0.0,0.0,1.0
26,3429.077199935913,0.0,0.0,0.0,1.0
27,3290.5681295394897,0.0,0.0,0.0,1.0
