episode,total_reward,loss,ndcg@5,slate_mrr,click_rate,epsilon
0,-522.5573383569717,0.0,0.0,0.0,0.4,0.1992313712835312
1,-525.065072208643,0.0,0.0,0.0,0.7,0.19846569001674652
2,-526.8996970504522,0.1045048756266732,0.0,0.0,0.5,0.19770294427871704
3,-509.89639604091644,0.014722523303935304,0.0,0.03999999910593033,0.4,0.19694313406944275
4,-510.9606785476208,0.010233792290673591,0.0,0.10000000149011612,0.2,0.19618622958660126
5,-533.5785327553749,0.009270000235992483,0.0,0.0,0.3,0.19543223083019257
6,-520.5818573534489,0.006858453134191223,0.0,0.0,0.3,0.19468121230602264
